# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201028-20201028
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
/es/delfos/vuelos/resultados/BUE/LAX/15-05-2021/15-07-2021?adultos=1&menores=CHD,1,1,00:04:20,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/BUE/MIA/07-12-2020/26-12-2020?adultos=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/vuelos/resultados/COR/BRC/01-02-2021/06-02-2021?adultos=1&includeBaggage=true,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/vuelos/resultados/COR/CUN/12-12-2020/27-12-2020?adultos=1,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/vuelos/resultados/COR/CUN/15-05-2021/29-05-2021?adultos=1,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/vuelos/resultados/EZE/MAD/18-05-2021/18-08-2021?adultos=1,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/vuelos/resultados/EZE/MIA/07-11-2020/26-12-2020?adultos=1,1,1,00:00:42,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/EZE/MIA/08-11-2020/26-12-2020?adultos=1&includeBaggage=false&ff-dsd-org=07-11-2020&ff-hst-org=26-12-2020&ff-imp-org=85031.797388928&ff-imp-sel=84194.9336384,1,1,00:08:14,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/IGU/NAT/15-04-2021/22-04-2021?adultos=3&menores=CHD,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
"/es/delfos/vuelos/resultados/MDZ,FTE,USH/FTE,USH,MDZ/09-01-2021,13-01-2021,17-01-2021/?adultos=1&includeBaggage=true",1,1,00:03:31,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/vuelos/resultados/MDZ,FTE,USH/FTE,USH,MDZ/09-01-2021,14-01-2021,18-01-2021/?adultos=1&includeBaggage=true",1,1,00:01:24,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/MDZ/BRC/05-01-2021/12-01-2021?adultos=1&includeBaggage=true,1,1,00:01:24,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/MDZ/BRC/08-01-2021/13-01-2021?adultos=1&includeBaggage=true&ff-dsd-org=05-01-2021&ff-hst-org=12-01-2021&ff-imp-org=20255.246882&ff-imp-sel=9618.6032488,1,1,00:01:21,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/MDZ/BRC/09-01-2021/16-01-2021?adultos=1&includeBaggage=true&ff-dsd-org=08-01-2021&ff-hst-org=13-01-2021&ff-imp-org=15132.965837599999&ff-imp-sel=9618.6032488,1,1,00:18:18,0,"0,00 %","0,00 %","0,00 US$"
,234,156,00:04:57,11,"22,22 %","28,21 %","0,00 US$"

Índice de día,Número de visitas a páginas
28/10/20,234
,234
