Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
SWAN TURISMO,TERRESTRE,,,"2,464.22",,,,70.20,,,"4,703.64",,"9,395.84","16,633.90",Mediano,Poco Frecuente,
DHARA VIAJES,AÉREO,"4,769.11","5,563.66",,,,,,,,,"1,096.69",141.14,"11,570.61",Mediano,Poco Frecuente,
DHARA VIAJES,TERRESTRE,"2,283.12",,,,,"2,631.00",,,,,,,"4,914.12",Mediano,Poco Frecuente,
BOSCATTO UDRISAR VIAJE,AÉREO,"9,994.12",525.77,,,,,71.30,"5,480.99",239.22,,,163.72,"16,475.13",Mediano,Frecuente,
COLORES DE ARGENTINA,AÉREO,"6,759.70","2,789.14",,795.37,"1,358.05",,300.81,744.41,,278.82,,"1,112.49","14,138.78",Mediano,Frecuente,
COLORES DE ARGENTINA,TERRESTRE,,,,,,,,,"1,819.00",,,,"1,819.00",Mediano,Poco Frecuente,
CULTUTRAVEL,AÉREO,"7,261.54","2,931.36",,,,84.56,,"2,147.16","1,818.10",666.65,,,"14,909.37",Mediano,Frecuente,Contactar
CULTUTRAVEL,TERRESTRE,404.30,,,,,,,,,515.72,,,920.02,Pequeño,Poco Frecuente,
POINTER OUTFITTERS,TERRESTRE,730.00,,,,,,"12,216.00","2,494.00",,,,,"15,440.00",Mediano,Poco Frecuente,
ROQUE ALLENDE SKI & SU,AÉREO,,,,,,,,,,"1,039.35",,,"1,039.35",Pequeño,Poco Frecuente,
ROQUE ALLENDE SKI & SU,TERRESTRE,,,,,"11,920.28",,,,,"1,855.85",,,"13,776.13",Mediano,Poco Frecuente,
PERAZOLO TUR,AÉREO,"2,280.89",292.74,,,,,,,,,60.16,,"2,633.80",Mediano,Poco Frecuente,
PERAZOLO TUR,TERRESTRE,,1.54,,,,,,,,"2,218.97","9,874.00",,"12,094.51",Mediano,Poco Frecuente,
PRODUCTORA TURISTICA,AÉREO,"2,979.14","11,622.07",,,,,,,,,,,"14,601.21",Mediano,Poco Frecuente,
BERTOLI VIAJES (E),AÉREO,,233.34,,,,,,,,,,,233.34,Pequeño,Poco Frecuente,
BERTOLI VIAJES (E),TERRESTRE,,,"2,674.99",,,,"2,416.00","8,199.49",,,,,"13,290.48",Mediano,Poco Frecuente,
GRUPO MAS,TERRESTRE,108.03,,,,"4,982.00","6,035.62",,,,,"1,800.00",374.00,"13,299.65",Mediano,Frecuente,
TRAVEL SUPPORT,AÉREO,"1,714.19","6,968.17",,"1,463.41","2,571.69",,,,,,,,"12,717.46",Mediano,Poco Frecuente,
CRISCIONE TOUR AND TRA,AÉREO,"5,986.71","3,689.27",173.62,,,243.26,,115.24,,78.85,744.72,"1,454.35","12,486.02",Mediano,Frecuente,
CRISCIONE TOUR AND TRA,TERRESTRE,,,,,,,,,,,34.62,,34.62,Pequeño,Poco Frecuente,
ONE TRIP LA CORDILLERA,AÉREO,"4,221.37","1,194.24",,,"3,427.34",,,,,261.39,,,"9,104.33",Mediano,Poco Frecuente,
ONE TRIP LA CORDILLERA,TERRESTRE,289.68,,,,"1,953.00",663.95,,,,,,,"2,906.63",Mediano,Poco Frecuente,
HUELLA DE VIAJE,AÉREO,"4,865.16",,,,,"3,141.93",,,,,,,"8,007.09",Mediano,Poco Frecuente,
HUELLA DE VIAJE,TERRESTRE,556.00,,,,,,,,,"3,346.00",,,"3,902.00",Mediano,Poco Frecuente,
BENTANCOURT REPRESENTA,AÉREO,"7,721.76",270.27,,,,"3,319.10",,,,,,,"11,311.13",Mediano,Poco Frecuente,
DEL RIO VIAJES,AÉREO,"4,127.33","4,413.66",,,,,,,,,,,"8,540.98",Mediano,Poco Frecuente,
DEL RIO VIAJES,TERRESTRE,,173.32,,,,,,"1,835.61",,,,,"2,008.93",Mediano,Poco Frecuente,
IZLET,AÉREO,"7,951.90",860.68,,,,,,,,,111.69,,"8,924.27",Mediano,Poco Frecuente,
IZLET,TERRESTRE,"1,580.45",25.36,,,,,,,,,,,"1,605.81",Pequeño,Poco Frecuente,
SARTORI PAIS VIAJES,AÉREO,,,,,,"1,641.97",,,,,,,"1,641.97",Mediano,Poco Frecuente,
SARTORI PAIS VIAJES,TERRESTRE,"1,011.02","7,606.48",,,,,,,,,,,"8,617.50",Mediano,Poco Frecuente,
